title,in_miracl,in_wikipedia,status
American Renaissance,Yes,Yes,Common
Asteroid,Yes,Yes,Common
Astronomical year numbering,Yes,Yes,Common
Atomic mass,Yes,Yes,Common
Cactus,Yes,Yes,Common
Cell nucleus,Yes,Yes,Common
Colorado Rockies,Yes,Yes,Common
David (Michelangelo),Yes,Yes,Common
Encryption,Yes,Yes,Common
Enlargement of NATO,Yes,Yes,Common
Gross domestic product,Yes,Yes,Common
Healthcare in the Netherlands,Yes,Yes,Common
Heart of Darkness,Yes,Yes,Common
Heavy metal music,Yes,Yes,Common
Indonesia,Yes,Yes,Common
Jellyfish,Yes,Yes,Common
Korea,Yes,Yes,Common
List of countries by GDP (nominal),Yes,Yes,Common
Michelangelo,Yes,Yes,Common
NATO,Yes,Yes,Common
Nazi Party,Yes,Yes,Common
Nervous system,Yes,Yes,Common
Netherlands,Yes,Yes,Common
Origin of Hangul,Yes,Yes,Common
Plea bargain,Yes,Yes,Common
Prohibition,Yes,Yes,Common
Prohibition Party,Yes,Yes,Common
Prohibition in the United States,Yes,Yes,Common
Punjab,Yes,Yes,Common
Punjabi language,Yes,Yes,Common
Real gross domestic product,Yes,Yes,Common
Relative atomic mass,Yes,Yes,Common
Renaissance,Yes,Yes,Common
Sejong the Great,Yes,Yes,Common
Spain,Yes,Yes,Common
Spanish language,Yes,Yes,Common
Special relativity,Yes,Yes,Common
Sydney Opera House,Yes,Yes,Common
West Memphis Three,Yes,Yes,Common
Year zero,Yes,Yes,Common
Accession of Macedonia to NATO,Yes,No,MIRACL_Only
American Renaissance (literature),Yes,No,MIRACL_Only
Asteroids in fiction,Yes,No,MIRACL_Only
Atolla jellyfish,Yes,No,MIRACL_Only
Atom,Yes,No,MIRACL_Only
Autonomous communities of Spain,Yes,No,MIRACL_Only
Beer in the United States,Yes,No,MIRACL_Only
C-type asteroid,Yes,No,MIRACL_Only
Cell communication (biology),Yes,No,MIRACL_Only
Ceres (dwarf planet),Yes,No,MIRACL_Only
Chemical element,Yes,No,MIRACL_Only
Chicago,Yes,No,MIRACL_Only
Chondrichthyes,Yes,No,MIRACL_Only
Christianity in Korea,Yes,No,MIRACL_Only
Cleistocactus strausii,Yes,No,MIRACL_Only
Congo Free State,Yes,No,MIRACL_Only
Cytoplasm,Yes,No,MIRACL_Only
Disk encryption software,Yes,No,MIRACL_Only
Echinopsis pachanoi,Yes,No,MIRACL_Only
Evolution of nervous systems,Yes,No,MIRACL_Only
Genuine progress indicator,Yes,No,MIRACL_Only
Hangul Day,Yes,No,MIRACL_Only
Hangul supremacy,Yes,No,MIRACL_Only
Income and fertility,Yes,No,MIRACL_Only
Inertia,Yes,No,MIRACL_Only
List of Colorado Rockies seasons,Yes,No,MIRACL_Only
Names given to the Spanish language,Yes,No,MIRACL_Only
Pakistan,Yes,No,MIRACL_Only
Planning fallacy,Yes,No,MIRACL_Only
Plea bargaining in the United States,Yes,No,MIRACL_Only
President of Indonesia,Yes,No,MIRACL_Only
"Punjab, Pakistan",Yes,No,MIRACL_Only
Punjabi culture,Yes,No,MIRACL_Only
Punjabis,Yes,No,MIRACL_Only
Real versus nominal value (economics),Yes,No,MIRACL_Only
Scientific theory,Yes,No,MIRACL_Only
Secure communication,Yes,No,MIRACL_Only
Share (P2P),Yes,No,MIRACL_Only
Special relativity (alternative formulations),Yes,No,MIRACL_Only
Sponge,Yes,No,MIRACL_Only
State v. Levie,Yes,No,MIRACL_Only
Statue of King Sejong (Gwanghwamun),Yes,No,MIRACL_Only
Ulrich Graf,Yes,No,MIRACL_Only
West Punjab,Yes,No,MIRACL_Only
