query_number,query,title,url,source
1,Was there a year 0?,Year,https://en.wikipedia.org/wiki/Year,Wikipedia
1,Was there a year 0?,Leap year,https://en.wikipedia.org/wiki/Leap_year,Wikipedia
1,Was there a year 0?,Light-year,https://en.wikipedia.org/wiki/Light-year,Wikipedia
1,Was there a year 0?,Facebook,https://en.wikipedia.org/wiki/Facebook,Wikipedia
2,Have the Colorado Rockies won a title?,Colorado,https://en.wikipedia.org/wiki/Colorado,Wikipedia
2,Have the Colorado Rockies won a title?,"Colorado Springs, Colorado","https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",Wikipedia
2,Have the Colorado Rockies won a title?,"Colorado City, Colorado","https://en.wikipedia.org/wiki/Colorado_City,_Colorado",Wikipedia
2,Have the Colorado Rockies won a title?,Denver,https://en.wikipedia.org/wiki/Denver,Wikipedia
2,Have the Colorado Rockies won a title?,Rocky Mountains,https://en.wikipedia.org/wiki/Rocky_Mountains,Wikipedia
2,Have the Colorado Rockies won a title?,Colorado Rockies,https://en.wikipedia.org/wiki/Colorado_Rockies,Wikipedia
2,Have the Colorado Rockies won a title?,Canadian Rockies,https://en.wikipedia.org/wiki/Canadian_Rockies,Wikipedia
2,Have the Colorado Rockies won a title?,Rocky,https://en.wikipedia.org/wiki/Rocky,Wikipedia
2,Have the Colorado Rockies won a title?,Colorado Rockies (NHL),https://en.wikipedia.org/wiki/Colorado_Rockies_(NHL),Wikipedia
2,Have the Colorado Rockies won a title?,List of Colorado Rockies seasons,https://en.wikipedia.org/wiki/List_of_Colorado_Rockies_seasons,Wikipedia
2,Have the Colorado Rockies won a title?,2007 Colorado Rockies season,https://en.wikipedia.org/wiki/2007_Colorado_Rockies_season,Wikipedia
2,Have the Colorado Rockies won a title?,Title,https://en.wikipedia.org/wiki/Title,Wikipedia
2,Have the Colorado Rockies won a title?,Title case,https://en.wikipedia.org/wiki/Title_case,Wikipedia
2,Have the Colorado Rockies won a title?,Title IX,https://en.wikipedia.org/wiki/Title_IX,Wikipedia
2,Have the Colorado Rockies won a title?,Title track,https://en.wikipedia.org/wiki/Title_track,Wikipedia
2,Have the Colorado Rockies won a title?,Colorado Rockies (disambiguation),https://en.wikipedia.org/wiki/Colorado_Rockies_(disambiguation),Wikipedia
2,Have the Colorado Rockies won a title?,History of the Colorado Rockies,https://en.wikipedia.org/wiki/History_of_the_Colorado_Rockies,Wikipedia
3,Who invented Hangul?,Origin of Hangul,https://en.wikipedia.org/wiki/Origin_of_Hangul,Wikipedia
3,Who invented Hangul?,Hangul,https://en.wikipedia.org/wiki/Hangul,Wikipedia
3,Who invented Hangul?,History of writing,https://en.wikipedia.org/wiki/History_of_writing,Wikipedia
3,Who invented Hangul?,Debate on the use of Korean mixed script,https://en.wikipedia.org/wiki/Debate_on_the_use_of_Korean_mixed_script,Wikipedia
3,Who invented Hangul?,Sejong the Great,https://en.wikipedia.org/wiki/Sejong_the_Great,Wikipedia
3,Who invented Hangul?,Hangul Day,https://en.wikipedia.org/wiki/Hangul_Day,Wikipedia
